;Title, http://www.gcdataconcepts.com, HAM-IMU, MPU-9250
;Version, 1191, Build date, Nov 15 2016,  SN:CCDC3016FE411C6
;Start_time, 2007-01-05, 09:07:08.189
;Temperature, -999.00, deg C,  Vbat, 4138, mv
;MPU SR, 200,Hz,  Accel sens, 2048,counts/g, Gyro sens, 16,counts/dps,  Mag SR, 10,Hz,  Mag sens, 1666,counts/mT
;Deadband, 0, counts
;DeadbandTimeout, 5,sec
;Time, Ax, Ay, Az, Gx, Gy, Gz, Qw, Qx, Qy, Qz, Mx, My, Mz, T
0.014434,156,260,-2197,-10,16,0,15694.560,131.869,-254.830,-4694.028,-284,-452,-323,30675
0.034454,155,260,-2239,-9,6,0,15694.604,131.659,-255.827,-4693.832,-287,-450,-322
0.054473,168,259,-2231,9,11,0,15694.654,132.428,-254.821,-4693.698
0.074462,166,260,-2210,16,13,0,15694.646,133.293,-254.289,-4693.730
0.094482,168,251,-2209,7,15,0,15694.585,133.439,-256.940,-4693.785
0.114563,148,251,-2215,-16,11,-3,15694.521,133.254,-261.221,-4693.767
0.134491,170,269,-2223,-19,12,1,15694.399,131.959,-266.152,-4693.936,-282,-453,-325,30693
0.154510,145,266,-2198,-6,12,-4,15694.292,132.414,-269.088,-4694.111
0.174499,173,279,-2198,-17,10,-3,15694.165,129.992,-275.689,-4694.221
0.194519,170,261,-2224,-30,-1,-2,15694.049,129.517,-279.328,-4694.408
0.214538,169,262,-2203,-7,18,-3,15693.981,129.178,-281.671,-4694.504
0.234527,165,253,-2230,-2,5,-2,15693.966,129.766,-283.025,-4694.456,-280,-450,-325
0.254547,158,251,-2205,4,20,0,15693.984,130.594,-284.546,-4694.281
0.274566,180,264,-2215,-7,13,1,15693.963,130.543,-288.289,-4694.125
0.294586,162,273,-2250,-8,15,0,15693.889,131.571,-290.729,-4694.193
0.314575,161,258,-2226,0,20,0,15693.956,132.468,-292.340,-4693.845
0.334594,183,272,-2241,1,15,1,15693.950,133.037,-293.904,-4693.751,-284,-454,-323
0.354583,156,260,-2222,0,11,0,15693.992,135.333,-295.300,-4693.456
0.374603,153,284,-2204,0,28,0,15693.898,134.109,-299.068,-4693.569
