;Title, http://www.gcdataconcepts.com, HAM-IMU+alt, MPU9250 BMP280
;Version, 1379, Build date, Jan 12 2018,  SN:CCDC50029F4C138
;Start_time, 2018-03-01, 20:47:55.209
;Temperature, -999.00, deg C,  Vbat, 3878, mv
;MPU SR, 200,Hz,  Accel sens, 2048,counts/g, Gyro sens, 16,counts/dps,  Mag SR, 10,Hz,  Mag sens, 1666,counts/mT
;BMP280 SI, 0.500,s 
;Deadband, 0, counts
;DeadbandTimeout, 5,sec
;Time, Ax, Ay, Az, Gx, Gy, Gz, Qw, Qx, Qy, Qz, Mx, My, Mz, P, T
0.006226,-2,46,-2126,-23,-76,4,16104.412,-2857.542,-916.405,279.285,277,-423,-396,99965,28230
0.006592,-2,35,-2137,-22,-75,5,16102.943,-2865.028,-918.565,280.209
0.012177,-12,55,-2156,-24,-77,6,16101.455,-2872.567,-920.856,280.988,259,-421,-392
0.012513,5,51,-2145,-24,-76,4,16100.011,-2879.843,-923.133,281.824
0.032196,-2,48,-2159,-24,-76,4,16098.549,-2887.227,-925.251,282.800,259,-421,-392
0.032532,2,43,-2105,-23,-76,6,16097.079,-2894.590,-927.500,283.838
0.052033,5,42,-2151,-23,-77,7,16095.573,-2902.159,-929.682,284.825,259,-421,-392,99964,28230
0.052369,2,43,-2127,-23,-75,6,16094.101,-2909.537,-931.839,285.701
0.072022,1,43,-2129,-22,-77,7,16092.639,-2916.908,-933.785,286.552
0.072388,-13,48,-2144,-22,-77,4,16091.207,-2924.045,-935.878,287.357
0.092011,-18,42,-2150,-23,-75,4,16089.782,-2931.044,-938.251,288.144
0.092347,-3,31,-2173,-23,-75,5,16088.382,-2937.994,-940.210,289.162
0.111969,-16,38,-2143,-21,-75,7,16086.967,-2945.011,-942.209,289.986
0.112336,6,46,-2196,-21,-77,5,16085.552,-2951.944,-944.299,291.155
0.131989,3,50,-2120,-23,-75,6,16084.178,-2958.702,-946.287,291.996
0.132325,-19,36,-2132,-22,-74,6,16082.733,-2965.791,-948.367,292.959
0.151947,13,40,-2150,-23,-74,6,16081.287,-2972.823,-950.597,293.831,270,-415,-398
0.152314,-14,34,-2147,-23,-75,4,16079.822,-2979.986,-952.692,294.638
0.171723,-7,50,-2115,-24,-75,4,16078.367,-2987.151,-954.545,295.528
0.172058,-4,23,-2147,-21,-76,5,16076.901,-2994.281,-956.582,296.487
0.172425,1,46,-2133,-22,-75,7,16075.453,-3001.356,-958.520,297.244
0.191712,-7,46,-2147,-22,-76,4,16073.973,-3008.515,-960.672,297.927
0.211701,-16,37,-2140,-23,-77,4,16072.463,-3015.813,-962.841,298.637
0.231690,-4,42,-2132,-23,-77,3,16070.985,-3022.929,-964.900,299.577
0.251679,3,34,-2139,-22,-77,6,16069.510,-3030.036,-966.937,300.307,272,-420,-382
0.271668,-24,31,-2126,-21,-78,4,16068.055,-3036.999,-969.022,301.130
0.291657,3,38,-2141,-24,-74,4,16066.528,-3044.323,-971.075,302.058
